Name,Email,MobileNumber,DateOfBirth,WorkExperience,ResumeTitle,CurrentLocation,PostalAddress,CurrentEmployer,CurrentDesignation
Sumit Kumar,assignment11@klimbdemo.com,9829993431,19-Oct-88,8 Year(s) 0 Month(s),"PYTHON DJANGO AND PHP LARAVEL developer , AWS , CLOUD GOOGLE (very sound knowledge)",Delhi,"D-239 Laxmi Nagar Street No 10,delhi",Iap,Senior Web Developer
Garikipati Chaitanya,assignment12@klimbdemo.com,9829993432,11-Apr-95,4 Year(s) 5 Month(s),Want to work with reputable Technology organizations in areas of Enterprise Application development and cloud technologies to provide Technical expertise with focus on architecture and development.,Chennai,Gudivada,Coda Global,Lead Engineer
Leela Sruthi,assignment13@klimbdemo.com,9829993433,13-Jul-93,5 Year(s) 8 Month(s),"Having 5.10 years of experience on python, Flask program, Database (redshift, Oracle,PLSQL, MySQL ) and AWS Cloud Services(IAM,S3,EC2) and Apache Airflow and BI Reporting tool(Birst, PI) and knowledge on SAP",Hyderabad,"Plot No: 1084, Ayyappa Society, Opposite Petrol Bunk,madhapur,hyderabad",Uxli Private Limited,Software Engineer
Osho Parth,assignment14@klimbdemo.com,9829993434,20-Nov-90,5 Year(s) 4 Month(s),A professional software developer with a good experience of managing a team with strict and tight timelines in a YCom backed company also stilled in cybersecurity and programming.,Jaipur,Jaipur,Quantificare Health Stations Network Pvt Ltd,Product Leader
Ronak Sharma,assignment15@klimbdemo.com,9829993435,12-Dec-92,6 Year(s) 0 Month(s),Microsoft Certified Azure Data Engineer (MSBI Stack + Azure Cloud Platform) - 6 years Exp,Pune,"Jaipur,jaipur",Volkswagen,Senior Software Engineer
Sajan Ravindran,assignment16@klimbdemo.com,9829993436,27-Oct-84,8 Year(s) 0 Month(s),"Software developer and Quantitative Analyst with proficiency in Python, MySQL and MS-Excel and experience in data development, data management and basic to intermediate data analysis",Bangalore,"F2,sai Ram Homes,3a Cross,muniswamyappa Layout, Near Syndicate Bank Atm, Banaswadi, Bangalore - 560043,banaswadi",Sct Capital Management,Senior Software Engineer
Rishav Jain,assignment17@klimbdemo.com,9829993437,21-Nov-93,4 Year(s) 1 Month(s),"Have Overall experience of 4.1 Years and relevant in BIG DATA is 2.6 years. Where I worked on SCALA, SPARK, Hadoop, HDFS, Hive, Sqoop, Python, Django.
Have good exposure in git, jira tools",Pune,"#604, Wing 'a', Eisha Pearl Society, Kondhwa Khurd, Pune,pune",Lti,Associate Consultant
Anil Kumar,assignment18@klimbdemo.com,9829993438,01-Feb-92,4 Year(s) 7 Month(s),Experienced Software Engineer with 4 years of experience,Bangalore,"Dno-3-191/1,sundar Nagar,sarpavaram Junction,kakinada",Gaincredit,Software Development Engineer 2
Koti K,assignment19@klimbdemo.com,9829993439,10-May-88,7 Year(s) 0 Month(s),Passionate python developer looking for a challenging position.,Bangalore,"Ongole,ongole",Infinite Computer Solutions,Senior Software Engineer
Srinjoy Roy,assignment20@klimbdemo.com,9829993440,25-Dec-92,5 Year(s) 0 Month(s),Software Engineer with 5+ years of experience in development and analysis.,Hyderabad,"60/8 Haripada Dutta Lane,kolkata",Oracle,Senior Software Engineer
Saitejaswi Ongole,assignment21@klimbdemo.com,9829993441,07-May-95,4 Year(s) 1 Month(s),Working as a software developer and lead for a product based company on latest technology and innovations,Hyderabad,"H. No 10-4-140/a, Mamillagudem,,khammam",Verizon Data Services India Pvt Ltd.,"Software Developer - Python, Machine Learning, Dialog Flow"
Sudheer Kumar Vetcha,assignment22@klimbdemo.com,9829993442,18-Mar-90,5 Year(s) 0 Month(s),"Having 5 years of experience as DevOPS engineer, Python Developer, Cloud Migration Specialist, Cloud architect, Automation Specialist and Oracle DBA",Hyderabad,"Flat No G1, Jsn Residency, Behind Sr Digi School, Opposite Manjeera Water Tank, Nizampet,hyderabad",Deloitte Usi Consulting Pvt Ltd,Consultant
Arun,assignment23@klimbdemo.com,9829993443,04-Aug-92,4 Year(s) 4 Month(s),"Software Developer with 4+ years of exp. in IT industry with keyskills like python,c,linux, AWS, GCP.",Bangalore,Bangalore,Sierra Circuits,Software Development Engineer
Raj Kamal,assignment24@klimbdemo.com,9829993444,26-Apr-93,5 Year(s) 0 Month(s),Consultant with 5 years of IT experience and 3.5 in AWS cloud development.Worked on various AWS services including Serverless architecture using python as primary language. AWS Certified Developer and Solutions Architect Associate.,Bangalore,"3/124/149 Lane 4 Durgabari Marris Road.,aligarh",Deloitte Us India,Consultant
Aman Singhal,assignment25@klimbdemo.com,9829993445,22-Mar-93,4 Year(s) 0 Month(s),"Software Developer, Seeking Roles in Software Development,Application Programming,Project Management,Requirement Analysis,Solution Architecture,C,C++,Python,Django,Flask,Express,MySQL,MongoDB,Postman,Eclipse,elasticsearch,aws,automations",Hyderabad,"230, Shiv Vihar,,hyderabad",Melvault,Software Developer
